department,course_code,current_term,current_avg_difficulty,current_reviews,risk_label,risk_confidence,prob_easier,prob_stable,prob_harder,harder_minus_easier
English,ENGL112W,2025-summer,4.0,2,easier,0.635,0.635,0.2946,0.0704,-0.5647
English,ENGL115W,2026-spring,4.2,5,easier,0.6591,0.6591,0.2716,0.0694,-0.5897
Engineering,ENSC380,2025-fall,3.364,11,stable,0.5637,0.367,0.5637,0.0693,-0.2977
Business Administration,BUS238,2026-spring,4.0,2,easier,0.7003,0.7003,0.2346,0.0651,-0.6353
Biology,BISC303,2025-fall,4.5,2,easier,0.6493,0.6493,0.2877,0.063,-0.5863
Business Administration,BUS336,2026-spring,4.0,2,easier,0.6486,0.6486,0.2892,0.0622,-0.5864
Mathematics,MATH152,2026-spring,4.125,8,easier,0.6241,0.6241,0.3155,0.0604,-0.5637
Computer Science,CMPT383,2025-fall,4.1,10,easier,0.517,0.517,0.4278,0.0552,-0.4617
Computer Science,CMPT125,2026-spring,4.6,5,easier,0.6304,0.6304,0.3155,0.0541,-0.5763
Chemistry,CHEM122,2026-spring,4.4,5,easier,0.6237,0.6237,0.3286,0.0477,-0.576
Accounting,BUS321,2025-fall,4.444,9,easier,0.5745,0.5745,0.3808,0.0447,-0.5297
Economics,ECON291,2025-fall,4.333,3,easier,0.6336,0.6336,0.3247,0.0417,-0.5918
Mathematics,MACM201,2025-fall,3.75,8,easier,0.5416,0.5416,0.4169,0.0415,-0.5001
Computer Science,CMPT276,2025-fall,4.0,9,easier,0.5644,0.5644,0.3967,0.0389,-0.5255
Geography,GEOG312,2025-fall,4.0,5,easier,0.6987,0.6987,0.2642,0.0372,-0.6615
Computer Science,CMPT120,2026-spring,3.667,3,easier,0.7938,0.7938,0.1747,0.0316,-0.7622
Computer Science,CMPT295,2026-spring,4.417,12,easier,0.66,0.66,0.3114,0.0286,-0.6314
Kinesiology,BPK110,2026-spring,4.5,2,easier,0.7773,0.7773,0.1967,0.026,-0.7513
Computer Science,CMPT225,2025-fall,3.368,19,stable,0.8111,0.1661,0.8111,0.0227,-0.1434
Business Administration,BUS373,2026-spring,4.75,8,easier,0.7908,0.7908,0.1877,0.0215,-0.7693
Psychology,PSYC371,2025-fall,4.75,12,easier,0.7316,0.7316,0.2475,0.0209,-0.7107
Engineering,ENSC220,2025-fall,4.778,9,easier,0.8119,0.8119,0.1788,0.0093,-0.8026
Business Administration,BUS315,2025-fall,4.905,21,easier,0.7952,0.7952,0.2012,0.0036,-0.7915
